strDrink,strAlcoholic,strCategory,strGlass,fullString,strInstructions
Mulled Wine,Alcoholic,Punch / Party Drink,Collins Glass,Water Sugar Cloves Cinnamon Lemon peel Red wine Brandy        ,"Simmer 3 cups water with, sugar, cloves, cinnamon sticks, and lemon peel in a stainless steel pot for 10 minutes. Add wine heat to a ""coffee temperature"" (DO NOT BOIL) then add the brandy."
National Aquarium,Alcoholic,Ordinary Drink,Collins Glass,Rum Vodka Gin Blue Curacao Sour mix Lemon-lime soda         ,Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.
Negroni,Alcoholic,Ordinary Drink,Old-fashioned glass,Gin Campari Sweet Vermouth            ,"Stir into glass over ice, garnish and serve."
New York Lemonade,Alcoholic,Cocktail,Cocktail glass,Absolut Citron Grand Marnier Lemon juice Club soda           ,Serve in a chilled cocktail glass. Lemon and sugar the rim. Stir and Strain.
New York Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Blended whiskey Lemon Sugar Red wine Lemon Cherry         ,"Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve."
Nuked Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,Cocoa powder Sugar Vanilla extract Milk           ,"Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts."
Nutty Irishman,Alcoholic,Milk / Float / Shake,Highball Glass,Bailey's irish cream Frangelico Milk            ,Serve over ice
Old Fashioned,Alcoholic,Cocktail,Old-fashioned glass,Bourbon Angostura bitters Sugar Water           ,"Place sugar cube in old fashioned glass and saturate with bitters, add a dash of plain water. Muddle until dissolved.
Fill the glass with ice cubes and add whiskey.

Garnish with orange twist, and a cocktail cherry."
Orange Crush,Alcoholic,Shot,Shot glass,Vodka Triple sec Orange juice            ,Add all ingredients to tumbler-Pour as shot
Orange Oasis,Alcoholic,Ordinary Drink,Highball glass,Cherry brandy Gin Orange juice Ginger ale           ,"Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve."
Orange Push-up,Alcoholic,Ordinary Drink,Hurricane glass,Spiced rum Grenadine Orange juice Sour mix           ,Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!
Orange Scented Hot Chocolate,Non alcoholic,Cocoa,Coffee mug,Milk Chocolate Orange peel Espresso Nutmeg          ,"Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings."
Orange Whip,Alcoholic,Other/Unknown,Collins Glass,Orange juice Rum Vodka Cream Ice          ,Pour ingredients over ice and stir.
Orangeade,Non alcoholic,Cocktail,Highball glass,Lemon juice Orange juice Sugar syrup Soda water           ,"Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw."
Oreo Mudslide,Alcoholic,Ordinary Drink,Collins Glass,Vodka Kahlua Bailey's irish cream Vanilla ice-cream Oreo cookie          ,"Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry."
Orgasm,Alcoholic,Ordinary Drink,Cocktail glass,Creme de Cacao Amaretto Triple sec Vodka Light cream          ,"Shake all ingredients with ice, strain into a chilled cocktail glass, and serve."
Owen's Grandmother's Revenge,Alcoholic,Ordinary Drink,Highball glass,Whiskey Beer Lemonade Ice           ,Add ingredients and mix in blender.
Paradise,Alcoholic,Ordinary Drink,Cocktail glass,Gin Apricot Brandy Orange Juice            ,Shake together over ice. Strain into cocktail glass and serve chilled.
Pina Colada,Alcoholic,Ordinary Drink,Collins glass,Light rum Coconut milk Pineapple            ,"Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve."
Pineapple Gingerale Smoothie,Non alcoholic,Other/Unknown,Highball Glass,Ginger Pineapple             ,Throw everything into a blender and liquify.
Pink Gin,Alcoholic,Ordinary Drink,White wine glass,Bitters Gin             ,"Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice."
Pink Lady,Alcoholic,Ordinary Drink,Cocktail glass,Gin Grenadine Light cream Egg white           ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Pink Panty Pulldowns,Alcoholic,Ordinary Drink,Collins Glass,Sprite Pink lemonade Vodka            ,Shake well
Pink Penocha,Alcoholic,Punch / Party Drink,Punch bowl,Everclear Vodka Peach schnapps Orange juice Cranberry juice          ,mix all ingredients into bowl keep iced stir frequently
Pisco Sour,Alcoholic,Cocktail,Cocktail glass,Pisco Lemon juice Sugar Ice           ,"Vigorously shake and strain contents in a cocktail shaker with ice cubes, then pour into glass and garnish with bitters.[1]"
Planter's Punch,Alcoholic,Punch / Party Drink,Collins glass,Dark rum Orgeat syrup Orange juice Pineapple juice           ,"Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple."
Popped cherry,Alcoholic,Ordinary Drink,Highball glass,Vodka Cherry liqueur Cranberry juice Orange juice           ,Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!
Poppy Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Gin Creme de Cacao             ,"Shake ingredients with ice, strain into a cocktail glass, and serve."
Port And Starboard,Alcoholic,Ordinary Drink,Pousse cafe glass,Grenadine Green Creme de Menthe             ,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
Port Wine Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Port Brandy             ,"Stir ingredients with ice, strain into a cocktail glass, and serve."
Port Wine Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,Port Light cream Powdered sugar Egg Nutmeg          ,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Porto flip,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Port Egg Yolk            ,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
Pysch Vitamin Light,Non alcoholic,Ordinary Drink,Collins Glass,Orange juice Apple juice Pineapple juice Ice           ,Shake with ice.
Quaker's Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Brandy Lemon Raspberry syrup           ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Quarter Deck Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Sherry Lime            ,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Queen Bee,Alcoholic,Ordinary Drink,Cocktail glass,Coffee brandy Lime vodka Sherry            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Queen Charlotte,Alcoholic,Ordinary Drink,Collins glass,Red wine Grenadine Lemon-lime soda            ,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
Queen Elizabeth,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Gin Benedictine            ,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Quentin,Alcoholic,Ordinary Drink,Cocktail glass,Dark rum Kahlua Light cream Nutmeg           ,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
Quick F**K,Alcoholic,Shot,Shot glass,Kahlua Midori melon liqueur Bailey's irish cream            ,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream"
Quick-sand,Alcoholic,Ordinary Drink,Highball glass,Black Sambuca Orange juice             ,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,Collins Glass,Rum Vodka Tequila Gin Triple sec Chambord raspberry liqueur Midori melon liqueur Malibu rum       ,Pour all ingredients over ice in a very tall glass. Sip cautiously.
Radler,Alcoholic,Ordinary Drink,Highball glass,Beer 7-Up             ,"Pour beer into large mug, slowly add the 7-up (or Sprite)."
Rail Splitter,Non alcoholic,Cocktail,Highball glass,Sugar syrup Lemon juice Ginger ale            ,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
Raspberry Cooler,Alcoholic,Other/Unknown,Highball glass,Raspberry vodka Lemon-lime soda Ice            ,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
Red Snapper,Alcoholic,Shot,Old-fashioned glass,Crown Royal Amaretto Cranberry juice            ,"One shot each, shake n shoot"
Rose,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Gin Apricot brandy Lemon juice Grenadine Powdered sugar         ,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
Royal Bitch,Alcoholic,Shot,Shot glass,Frangelico Crown Royal             ,Into a shot glass layer the Crown Royal on top of the Frangelico.
Royal Fizz,Alcoholic,Ordinary Drink,Collins glass,Gin Sweet and sour Egg Coca-Cola           ,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
Royal Flush,Alcoholic,Shot,Old-fashioned glass,Crown Royal Peach schnapps Chambord raspberry liqueur Cranberry juice           ,Pour all the ingredients into tumbler over ice. Strain into glass.
Royal Gin Fizz,Alcoholic,Ordinary Drink,Highball glass,Gin Lemon Powdered sugar Egg Carbonated water          ,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Ruby Tuesday,Alcoholic,Cocktail,Highball glass,Gin Cranberry juice Grenadine            ,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Rum Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,Sugar Club soda Lemon Dark rum Maraschino cherry Orange         ,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
Rum Cooler,Alcoholic,Ordinary Drink,Collins glass,Rum Lemon-lime soda Lemon            ,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
Rum Milk Punch,Alcoholic,Ordinary Drink,Collins glass,Light rum Milk Powdered sugar Nutmeg           ,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
Rum Old-fashioned,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum 151 proof rum Powdered sugar Bitters Water Lime peel         ,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
Rum Punch,Alcoholic,Punch / Party Drink,Punch bowl,Rum Ginger ale Fruit punch Orange juice Ice          ,Mix all ingredients in a punch bowl and serve.
Rum Runner,Alcoholic,Punch / Party Drink,Cocktail glass,Malibu rum Blackberry brandy Orange juice Pineapple juice Cranberry juice          ,Mix all ingredients in glass & add ice.
Rum Screwdriver,Alcoholic,Ordinary Drink,Highball glass,Light rum Orange juice             ,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
Rum Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Light rum Lemon juice Sugar Orange Maraschino cherry          ,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Rum Toddy,Alcoholic,Ordinary Drink,Old-fashioned glass,Rum Powdered sugar Lemon peel Water           ,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
Russian Spring Punch,Alcoholic,Ordinary Drink,Highball glass,Vodka Creme de Cassis Sugar Syrup Lemon Juice           ,"Pour the ingredients into an highball glass, top with Sparkling wine."
Rusty Nail,Alcoholic,Ordinary Drink,Old-fashioned glass,Scotch Drambuie Lemon peel            ,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
Salty Dog,Alcoholic,Ordinary Drink,Highball glass,Grapefruit juice Gin Salt            ,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
San Francisco,Alcoholic,Ordinary Drink,Highball glass,Vodka Creme de Banane Grenadine Orange juice           ,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
Sangria #1,Alcoholic,Punch / Party Drink,Pitcher,Red wine Sugar Orange juice Lemon juice Cloves Cinnamon         ,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Sangria - The World's Best,Alcoholic,Punch / Party Drink,Pitcher,Red wine Sugar Lemon Orange Apple Brandy Soda water        ,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses."
Sazerac,Alcoholic,Ordinary Drink,Old-fashioned glass,Ricard Sugar Peychaud bitters Water Bourbon Lemon peel         ,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
Scooter,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Amaretto Light cream            ,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
Scotch Cobbler,Alcoholic,Ordinary Drink,Old-fashioned glass,Scotch Brandy Curacao Orange Mint          ,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
Scotch Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Scotch Lime Powdered sugar Lemon Cherry          ,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,Collins Glass,Johnnie Walker Honey Angelica root Fennel seeds Lemon peel          ,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking."
Screaming Orgasm,Alcoholic,Ordinary Drink,Cocktail glass,Vodka Bailey's irish cream Kahlua            ,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first."
Screwdriver,Alcoholic,Ordinary Drink,Highball glass,Vodka Orange juice             ,Mix in a highball glass with ice. Garnish and serve.
Sea breeze,Alcoholic,Ordinary Drink,Highball glass,Vodka Cranberry juice Grapefruit juice            ,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
Sex on the Beach,Alcoholic,Ordinary Drink,Highball glass,Vodka Peach schnapps Cranberry juice Grapefruit juice           ,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
Shanghai Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Light rum Anisette Grenadine Lemon           ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Shark Attack,Alcoholic,Cocktail,Pitcher,Lemonade Water Vodka            ,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Sherry Eggnog,Alcoholic,Ordinary Drink,Collins glass,Sherry Powdered sugar Egg Milk Nutmeg          ,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
Sherry Flip,Alcoholic,Ordinary Drink,Whiskey sour glass,Sherry Light cream Powdered sugar Egg Nutmeg          ,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Shot-gun,Alcoholic,Shot,Shot glass,Jim Beam Jack Daniels Wild Turkey            ,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
Sidecar,Alcoholic,Ordinary Drink,Cocktail glass,Cognac Cointreau Lemon juice            ,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
Sidecar Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Brandy Triple sec Lemon            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Singapore Sling,Alcoholic,Ordinary Drink,Hurricane glass,Cherry brandy Grenadine Gin Sweet and sour Carbonated water Cherry         ,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
Sloe Gin Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Sloe gin Dry Vermouth Orange bitters            ,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Smut,Alcoholic,Punch / Party Drink,Beer mug,Red wine Peach schnapps Pepsi Cola Orange juice           ,Throw it all together and serve real cold.
Snake Bite (UK),Alcoholic,Beer,Pint glass,Lager Cider             ,Pour ingredients into a pint glass. Drink. Fall over.
Snakebite and Black,Alcoholic,Beer,Pint glass,Lager Cider Blackcurrant squash            ,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
Snowball,Alcoholic,Ordinary Drink,Highball glass,Advocaat Lemonade Lemon Ice           ,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Sol Y Sombra,Alcoholic,Ordinary Drink,Brandy snifter,Brandy Anisette             ,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Space Odyssey,Alcoholic,Ordinary Drink,Highball glass,151 proof rum Malibu rum Pineapple juice Orange juice Grenadine Cherries         ,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
Spanish chocolate,Non alcoholic,Cocoa,Coffee mug,Milk Chocolate Cinnamon Egg yolk           ,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
Spiced Peach Punch,Non alcoholic,Punch / Party Drink,Collins Glass,Peach nectar Orange juice Brown sugar Cinnamon Cloves Lime juice         ,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
Spiking coffee,Non alcoholic,Coffee / Tea,Coffee mug,Coffee Cinnamon             ,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug."
Spritz,Alcoholic,Ordinary Drink,Old-Fashioned glass,Prosecco Campari Soda Water            ,"Build into glass over ice, garnish and serve."
Stinger,Alcoholic,Ordinary Drink,Cocktail glass,Brandy White Creme de Menthe             ,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
Stone Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Apricot brandy Orange juice Sweet and sour            ,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Strawberry Daiquiri,Alcoholic,Ordinary Drink,Cocktail glass,Strawberry schnapps Light rum Lime juice Powdered sugar Strawberries          ,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Strawberry Lemonade,Non alcoholic,Punch / Party Drink,Collins Glass,Lemon Sugar Strawberries Water           ,Throw everything into a blender and mix until fairly smooth. Serve over ice.
Strawberry Margarita,Alcoholic,Ordinary Drink,Cocktail glass,Strawberry schnapps Tequila Triple sec Lemon juice Strawberries Salt         ,"Rub rim of cocktail glass with lemon juice and dip rim in salt. Shake schnapps, tequila, triple sec, lemon juice, and strawberries with ice, strain into the salt-rimmed glass, and serve."
Strawberry Shivers,Non alcoholic,Other/Unknown,Highball glass,Strawberries Honey Water            ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sunny Holiday Punch,Optional alcohol,Punch / Party Drink,Punch bowl,Pineapple juice Club soda Orange juice Lemon Berries Champagne         ,Combine all ingredients in a punch bowl.
Surf City Lifesaver,Alcoholic,Ordinary Drink,Highball glass,Ouzo Bailey's irish cream Gin Grand Marnier           ,Lots of ice and soda top up in tall glass with cherry and a grin.
Swedish Coffee,Alcoholic,Coffee / Tea,Coffee Mug,Coffee Aquavit Sugar            ,Pour the coffee in an ordinary coffee cup. Add the aquavit. Add sugar by taste. Stir and have a nice evening (morning)
Sweet Bananas,Non alcoholic,Milk / Float / Shake,Highball Glass,Milk Banana Honey            ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Sweet Sangria,Alcoholic,Punch / Party Drink,Pitcher,Red wine Sugar Water Apple Orange Lime Lemon Fresca       ,"Dissolve the sugar in hot water and cool. Peel the citrus fruits and break into wedges. Mix the wine, sugar syrup, fruit, and Fresca in a pitcher and put in the fridge for a few hours. Serve in tall glasses with a straw."
Sweet Tooth,Alcoholic,Milk / Float / Shake,Highball Glass,Godiva liqueur Milk             ,"Put 2 shots Godiva Liquour into a glass, add as much or as little milk as you would like."
Talos Coffee,Alcoholic,Coffee / Tea,Brandy snifter,Grand Marnier Coffee             ,Add your GM and then add your coffee.
Tennesee Mud,Alcoholic,Coffee / Tea,Coffee Mug,Coffee Jack Daniels Amaretto Whipped cream           ,"Mix Coffee, Jack Daniels and Amaretto. Add Cream on top."
Tequila Fizz,Alcoholic,Ordinary Drink,Collins glass,Tequila Lemon juice Grenadine Egg white Ginger ale          ,"Shake all ingredients (except ginger ale) with ice and strain into a collins glass over ice cubes. Fill with ginger ale, stir, and serve."
Tequila Sour,Alcoholic,Ordinary Drink,Whiskey sour glass,Tequila Lemon Powdered sugar Lemon Cherry          ,"Shake tequila, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Add the half-slice of lemon, top with the cherry, and serve."
Tequila Sunrise,Alcoholic,Cocktail,Highball glass,Tequila Orange juice Grenadine            ,"Pour the tequila and orange juice into glass over ice. Add the grenadine, which will sink to the bottom. Stir gently to create the sunrise effect. Garnish and serve."
Tequila Surprise,Alcoholic,Shot,Shot glass,Tequila Tabasco sauce             ,Fill shot glass with Tequila. Add drops of Tobasco sauce.
Texas Rattlesnake,Alcoholic,Shot,Highball glass,Yukon Jack Cherry brandy Southern Comfort Sweet and sour           ,"Mix all ingredients and Shake well. Sweet at first, with a BITE at the end..."
Texas Sling,Alcoholic,Milk / Float / Shake,Wine Glass,Kahlua Irish cream Amaretto 151 proof rum Cream          ,"Blend with Ice until smooth. Serve in a tulip glass, top with whip cream."
Thai Coffee,Non alcoholic,Coffee / Tea,Highball glass,Coffee Coriander Cardamom Sugar Whipping cream Ice         ,"Place the coffee and spices in the filter cone of your coffee maker. Brew coffee as usual, let it cool. In a tall glass, dissolve 1 or 2 teaspoons of sugar in an ounce of the coffee (it's easier to dissolve than if you put it right over ice). Add 5-6 ice cubes and pour coffee to within about 1 inch of the top of the glass. Rest a spoon on top of the coffee and slowly pour whipping cream into the spoon. This will make the cream float on top of the coffee rather than dispersing into it right away."
Thai Iced Coffee,Non alcoholic,Coffee / Tea,Highball glass,Coffee Sugar Cream Cardamom           ,"Prepare a pot of coffee at a good European strength. In the ground coffee, add 2 or 3 freshly ground cardamom pods. Sweeten while hot, then cool quickly. Serve in highball glass over ice, with cream. To get the layered effect, place a spoon atop the coffee and pour the milk carefully into the spoon so that it floats on the top of the coffee."
Thai Iced Tea,Non alcoholic,Coffee / Tea,Highball glass,Tea Water Condensed milk Ice Mint          ,"Combine Thai tea (i.e., the powder), boiling water, and sweetened condensed milk, stir until blended. Pour into 2 tall glasses filled with ice cubes. Garnish with mint leaves. Makes 2 servings."
The Evil Blue Thing,Alcoholic,Cocktail,Old-fashioned glass,Creme de Cacao Blue Curacao Light rum            ,"Pour ingredients into glass, and drop in a blue whale! The blue whale isn't really necessary, but it makes the drink more ""fun""."
Thriller,Alcoholic,Ordinary Drink,Cocktail glass,Scotch Wine Orange juice            ,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Tia-Maria,Alcoholic,Homemade Liqueur,Collins Glass,Water Brown sugar Coffee Rum Vanilla extract          ,"Boil water, sugar and coffe for 10 mins and let cool. Add rum and vanilla. Put in clean bottle(s) and leave for 1 week before using."
Tom Collins,Alcoholic,Ordinary Drink,Collins glass,Gin Lemon juice Sugar Club soda Maraschino cherry Orange         ,"In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a collins glass alomst filled with ice cubes. Add the club soda. Stir and garnish with the cherry and the orange slice."
Tomato Tang,Non alcoholic,Other/Unknown,Highball glass,Tomato juice Lemon juice Celery salt            ,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Tommy's Margarita,Alcoholic,Ordinary Drink,Old-Fashioned glass,Tequila Lime Juice Agave syrup            ,Shake and strain into a chilled cocktail glass.
Turf Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Gin Anis Bitters Orange peel          ,Stir all ingredients (except orange peel) with ice and strain into a cocktail glass. Add the twist of orange peel and serve.
Turkeyball,Alcoholic,Shot,Shot glass,Wild Turkey Amaretto Pineapple juice            ,Shake with ice and strain into a shot glass.
Tuxedo Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Dry Vermouth Gin Maraschino liqueur Anis Orange bitters Cherry         ,Stir all ingredients with ice and strain into a cocktail glass. Garnish with a cherry and a twist of lemon zest.
Valencia Cocktail,Alcoholic,Ordinary Drink,Cocktail glass,Apricot brandy Orange juice Orange bitters            ,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Vampiro,Alcoholic,Ordinary Drink,Old-Fashioned glass,Tequila Tomato Juice Orange Juice Lime Juice Sugar Syrup Salt         ,"Vampiros may be made in a tall glass or an old fashioned glass. Bartenders may first ""rim"" the glass with Kosher Salt, which is done by placing a layer of Kosher Salt on a chopping board, moistening the glass' rim with lime juice or water, and then placing the upside down glass rim onto the Kosher Salt, so that the salt sticks to the moistened rim. The second step is to fill half the glass with ice and add one or two shooter glasses full of high quality Tequila. The next stage is to add the flavouring elements. This is done by squeezing a fresh lime into the glass, adding a few grains of salt, adding citrus-flavoured soda pop, until the glass is 4/5 full, and then adding spicy Viuda de Sanchez (or orange juice, lime juice and pico de gallo). The final step is to stir the ingredients so that the flavours are properly blended."
Van Vleet,Alcoholic,Ordinary Drink,Old-fashioned glass,Light rum Maple syrup Lemon juice            ,"Shake all ingredients with ice, strain into an old-fashioned glass over ice cubes, and serve."
Vermouth Cassis,Alcoholic,Ordinary Drink,Highball glass,Dry Vermouth Creme de Cassis Carbonated water            ,"Stir vermouth and creme de cassis in a highball glass with ice cubes. Fill with carbonated water, stir again, and serve."
Vesper,Alcoholic,Cocktail,Cocktail glass,Gin Vodka Lillet Blanc            ,"Shake over ice until well chilled, then strain into a deep goblet and garnish with a thin slice of lemon peel."
