strDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIngredient1,strMeasure1,strIngredient2,strMeasure2,strIngredient3,strMeasure3,strIngredient4,strMeasure4,strIngredient5,strMeasure5,strIngredient6,strMeasure6,strIngredient7,strMeasure7,strIngredient8,strMeasure8,strIngredient9,strMeasure9,strIngredient10,strMeasure10,strIngredient11,strMeasure11,strIngredient12,strMeasure12,strIngredient13,strMeasure13,strIngredient14,strMeasure14,strIngredient15,strMeasure15,strInstructions
Port And Starboard,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wxvupx1441553911.jpg,Pousse cafe glass,Grenadine,1 tblsp ,Green Creme de Menthe,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing."
Port Wine Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qruprq1441553976.jpg,Cocktail glass,Port,2 1/2 oz ,Brandy,1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Stir ingredients with ice, strain into a cocktail glass, and serve."
Port Wine Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vrprxu1441553844.jpg,Whiskey sour glass,Port,1 1/2 oz ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Porto flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/64x5j41504351518.jpg,Cocktail glass,Brandy,3 parts,Port,9 parts,Egg Yolk,2 parts,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve."
Pysch Vitamin Light,Non alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xsqsxw1441553580.jpg,Collins Glass,Orange juice,1 part ,Apple juice,1 part ,Pineapple juice,1 part ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Shake with ice.
Quaker's Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yrqppx1478962314.jpg,Cocktail glass,Light rum,3/4 oz ,Brandy,3/4 oz ,Lemon,Juice of 1/4 ,Raspberry syrup,2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Quarter Deck Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrwvps1478963017.jpg,Cocktail glass,Light rum,1 1/2,Sherry,1/3 oz cream ,Lime,Juice of 1/2 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Queen Bee,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rvvpxu1478963194.jpg,Cocktail glass,Coffee brandy,1 oz ,Lime vodka,1 1/2 oz ,Sherry,1/2 oz cream ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Queen Charlotte,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vqruyt1478963249.jpg,Collins glass,Red wine,2 oz ,Grenadine,1 oz ,Lemon-lime soda,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,"Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve."
Queen Elizabeth,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vpqspv1478963339.jpg,Cocktail glass,Dry Vermouth,1/2 oz ,Gin,1 1/2 oz ,Benedictine,1 1/2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Quentin,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/spxtqp1478963398.jpg,Cocktail glass,Dark rum,1 1/2 oz ,Kahlua,1/2 oz ,Light cream,1 oz ,Nutmeg,1/8 tsp grated ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg."
Quick F**K,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/wvtwpp1478963454.jpg,Shot glass,Kahlua,1 part ,Midori melon liqueur,1 part ,Bailey's irish cream,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream"
Quick-sand,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vprxqv1478963533.jpg,Highball glass,Black Sambuca,25 ml ,Orange juice,Add 250 ml ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!"
Radioactive Long Island Iced Tea,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/rdvqmh1503563512.jpg,Collins Glass,Rum,1 oz ,Vodka,1 oz ,Tequila,1 oz ,Gin,1 oz ,Triple sec,1 oz ,Chambord raspberry liqueur,1 oz ,Midori melon liqueur,1 oz ,Malibu rum,1 oz ,, ,, ,, ,, ,, ,,,,,Pour all ingredients over ice in a very tall glass. Sip cautiously.
Radler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xz8igv1504888995.jpg,Highball glass,Beer,12 oz ,7-Up,12 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour beer into large mug, slowly add the 7-up (or Sprite)."
Rail Splitter,Non alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/stsuqq1441207660.jpg,Highball glass,Sugar syrup,2 tsp ,Lemon juice,"
",Ginger ale, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.
Raspberry Cooler,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/suqyyx1441254346.jpg,Highball glass,Raspberry vodka,2 oz ,Lemon-lime soda,4 oz ,Ice,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,,,Pour the raspberry vodka and soda into a highball glass almost filled with ice cubes. Stir well.
Red Snapper,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7p607y1504735343.jpg,Old-fashioned glass,Crown Royal,1 shot ,Amaretto,1 shot ,Cranberry juice,1 shot ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"One shot each, shake n shoot"
Rose,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8kxbvq1504371462.jpg,Cocktail glass,Dry Vermouth,1/2 oz ,Gin,1 oz ,Apricot brandy,1/2 oz ,Lemon juice,1/2 tsp ,Grenadine,1 tsp ,Powdered sugar,,,,,,,,,,,,,,,,,,,,"Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve."
Royal Bitch,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/qupuyr1441210090.jpg,Shot glass,Frangelico,1 part ,Crown Royal,1 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Into a shot glass layer the Crown Royal on top of the Frangelico.
Royal Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/wrh44j1504390609.jpg,Collins glass,Gin,1 oz ,Sweet and sour,2 oz ,Egg,1 whole ,Coca-Cola,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.
Royal Flush,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/7rnm8u1504888527.jpg,Old-fashioned glass,Crown Royal,1 1/2 oz ,Peach schnapps,1 oz ,Chambord raspberry liqueur,1/2 oz ,Cranberry juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Pour all the ingredients into tumbler over ice. Strain into glass.
Royal Gin Fizz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pe1x1c1504735672.jpg,Highball glass,Gin,2 oz ,Lemon,Juice of 1/2 ,Powdered sugar,1 tsp ,Egg,1 whole ,Carbonated water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
Ruby Tuesday,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/qsyqqq1441553437.jpg,Highball glass,Gin,2 oz ,Cranberry juice,5 oz ,Grenadine,2 splashes ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour gin and cranberry into a highball filled with ice cubes. Add grenadine and stir.
Rum Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/5vh9ld1504390683.jpg,Old-fashioned glass,Sugar,1 tsp superfine ,Club soda,3 oz ,Lemon,1,Dark rum,2 oz ,Maraschino cherry,1,Orange,1,, ,, ,, ,, ,, ,,,,,,,,,"In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices."
Rum Cooler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2hgwsb1504888674.jpg,Collins glass,Rum,2 oz light or dark ,Lemon-lime soda,4 oz ,Lemon,1,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.
Rum Milk Punch,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/w64lqm1504888810.jpg,Collins glass,Light rum,2 oz ,Milk,1 cup ,Powdered sugar,1 tsp ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.
Rum Old-fashioned,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/otn2011504820649.jpg,Old-fashioned glass,Light rum,1 1/2 oz ,151 proof rum,1 tsp ,Powdered sugar,1/2 tsp ,Bitters,1 dash ,Water,1 tsp ,Lime peel,Twist of ,, ,, ,, ,, ,, ,,,,,,,,,"Stir powdered sugar, water, and bitters in an old-fashioned glass. When sugar has dissolved add ice cubes and light rum. Add the twist of lime peel, float 151 proof rum on top, and serve."
Rum Punch,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/wyrsxu1441554538.jpg,Punch bowl,Rum,mikey bottle ,Ginger ale,large bottle ,Fruit punch,355 ml frozen ,Orange juice,355 ml frozen ,Ice,crushed ,, ,, ,, ,, ,, ,,,,,,,,,,,Mix all ingredients in a punch bowl and serve.
Rum Runner,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vqws6t1504888857.jpg,Cocktail glass,Malibu rum,1 1/2 oz ,Blackberry brandy,1 oz ,Orange juice,3-4 oz ,Pineapple juice,3-4 oz ,Cranberry juice,3-4 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,Mix all ingredients in glass & add ice.
Rum Screwdriver,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/pwl7v81504886372.jpg,Highball glass,Light rum,1 1/2 oz ,Orange juice,5 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour rum into a highball glass over ice cubes. Add orange juice, stir, and serve."
Rum Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/bylfi21504886323.jpg,Whiskey sour glass,Light rum,2 oz ,Lemon juice,1 oz ,Sugar,1/2 tsp superfine ,Orange,1,Maraschino cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Rum Toddy,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/athdk71504886286.jpg,Old-fashioned glass,Rum,2 oz light or dark ,Powdered sugar,2 tsp ,Lemon peel,1 twist of ,Water,2 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.
Russian Spring Punch,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ctt20s1504373488.jpg,Highball glass,Vodka,2.5 cl,Creme de Cassis,1.5 cl,Sugar Syrup,1 cl,Lemon Juice,2.5 cl,,,, ,, ,,,,,,,,,,,,,,,,,"Pour the ingredients into an highball glass, top with Sparkling wine."
Rusty Nail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yqsvtw1478252982.jpg,Old-fashioned glass,Scotch,1 1/2 oz ,Drambuie,1/2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.
Salty Dog,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/4vfge01504890216.jpg,Highball glass,Grapefruit juice,5 oz ,Gin,1 1/2 oz ,Salt,1/4 tsp ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pour all ingredients over ice cubes in a highball glass. Stir well and serve. (Vodka may be substituted for gin, if preferred.)"
San Francisco,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/szmj2d1504889961.jpg,Highball glass,Vodka,2 cl ,Creme de Banane,2 cl ,Grenadine,"
",Orange juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Take a tall glass and put in a few ice cubes, fill the vodka over it and fill with juice then the ""creme"", to end fill in the grenadine but very carefully at the side of the glass so it will lay down in the bottom. garnish with orange and strawberry."
Sangria #1,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/xrvxpp1441249280.jpg,Pitcher,Red wine,1 bottle ,Sugar,1/2 cup ,Orange juice,1 cup ,Lemon juice,1 cup ,Cloves,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,,Mix all together in a pitcher and refrigerate. Add cloves and cinnamon sticks to taste. Serve in wine glasses.
Sangria - The World's Best,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/vysywu1468924264.jpg,Pitcher,Red wine,1 1/2 L ,Sugar,1 cup ,Lemon,1 large ,Orange,1 large ,Apple,1 large ,Brandy,3-4 oz plain ,Soda water,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,"Mix wine, sugar and fruit, and let sit in the fridge for 18-24 hours. The mixture will have a somewhat syrupy consistency. Before serving stir in brandy and cut the mixture with soda water until it have a thinner, more wine like consistency. Serve from a pitcher in wine glasses."
Sazerac,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vvpxwy1439907208.jpg,Old-fashioned glass,Ricard,1 tsp ,Sugar,1/2 tsp superfine ,Peychaud bitters,2 dashes ,Water,1 tsp ,Bourbon,2 oz ,Lemon peel,1 twist of ,, ,, ,, ,, ,, ,,,,,,,,,"Rinse a chilled old-fashioned glass with the absinthe, add crushed ice, and set it aside. Stir the remaining ingredients over ice and set it aside. Discard the ice and any excess absinthe from the prepared glass, and strain the drink into the glass. Add the lemon peel for garnish."
Scooter,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twuptu1483388307.jpg,Cocktail glass,Brandy,1 oz ,Amaretto,1 oz ,Light cream,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients well with cracked ice, strain into a cocktail glass, and serve."
Scotch Cobbler,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/1q7coh1504736227.jpg,Old-fashioned glass,Scotch,2 oz ,Brandy,4 dashes ,Curacao,4 dashes ,Orange,1 slice ,Mint,1,, ,, ,, ,, ,, ,,,,,,,,,,,"Pour scotch, brandy, and curacao over ice in an old-fashioned glass. Add the orange slice, top with the mint sprig, and serve."
Scotch Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0dnb6k1504890436.jpg,Whiskey sour glass,Scotch,1 1/2 oz ,Lime,Juice of 1/2 ,Powdered sugar,1/2 tsp ,Lemon,1/2 slice ,Cherry,1,, ,, ,, ,, ,, ,,,,,,,,,,,"Shake scotch, juice of lime, and powdered sugar with ice and strain into a whiskey sour glass. Decorate with 1/2 slice lemon, top with the cherry, and serve."
Scottish Highland Liqueur,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/upqvvp1441253441.jpg,Collins Glass,Johnnie Walker,1 fifth ,Honey,1 1/2 cup mild ,Angelica root,2 tsp dried and chopped ,Fennel seeds,1/4 tsp crushed ,Lemon peel,2 2 inch strips ,, ,, ,, ,, ,, ,,,,,,,,,,,"Combine all ingreds in aging container. Cover tightly and shake gently several times during the first 24 hrs. After 24 hrs, remove the lemon zest. Cover again and let stand in a cool, dark place for 2 weeks, shaking gently every other day. Strain through a wire sieve to remove the angelica root and fennel. Return to aging container, cover and let stand undisturbed in a cool dark place for 6 months. Siphon or pour clear liqueur into a sterile bottle. The cloudy dregs may be saved for cooking."
Screaming Orgasm,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/x894cs1504388670.jpg,Cocktail glass,Vodka,1 oz ,Bailey's irish cream,1 1/2 oz ,Kahlua,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Pour first vodka, then Bailey's, then Kahlua into a cocktail glass over crushed ice. Stir. Caution: use only high quality vodka. Cheap vodka can cause the Bailey's to curdle. Test your brand of vodka by mixing 1 Tsp each of vodka and Bailey's first."
Screwdriver,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/8xnyke1504352207.jpg,Highball glass,Vodka,2 oz ,Orange juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mix in a highball glass with ice. Garnish and serve.
Sea breeze,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7rfuks1504371562.jpg,Highball glass,Vodka,1 1/2 oz ,Cranberry juice,4 oz ,Grapefruit juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.
Sex on the Beach,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/twsvwr1469092365.jpg,Highball glass,Vodka,1 oz ,Peach schnapps,3/4 oz ,Cranberry juice,,Grapefruit juice, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Build all ingredients in a highball glass filled with ice. Garnish with orange slice.
Shanghai Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ttyrxr1478820678.jpg,Cocktail glass,Light rum,1 oz Jamaican ,Anisette,1 tsp ,Grenadine,1/2 tsp ,Lemon,Juice of 1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Shark Attack,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/uv96zr1504793256.jpg,Pitcher,Lemonade,1 can ,Water,3 cans ,Vodka,1 1/2 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Mix lemonade and water according to instructions on back of can. If the instructions say to add 4 1/3 cans of water do so. Mix into pitcher. Add 1 1/2 cup of Vodka (Absolut). Mix well. Pour into glass of crushed ice. Excellent!
Sherry Eggnog,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xwrpsv1478820541.jpg,Collins glass,Sherry,2 oz cream ,Powdered sugar,1 tsp ,Egg,1 whole ,Milk,"
",Nutmeg, ,, ,, ,, ,, ,,,,,,,,,,,,,"Shake sherry, powdered sugar, and egg with ice and strain into a collins glass. Fill with milk and stir. Sprinkle nutmeg on top and serve."
Sherry Flip,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qrryvq1478820428.jpg,Whiskey sour glass,Sherry,1 1/2 oz cream ,Light cream,2 tsp ,Powdered sugar,1 tsp ,Egg,1 whole ,Nutmeg,"
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.
Shot-gun,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/2j1m881503563583.jpg,Shot glass,Jim Beam,1 part ,Jack Daniels,1 part ,Wild Turkey,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour one part Jack Daneils and one part Jim Beam into shot glass then float Wild Turkey on top.
Sidecar,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/stwxuq1439906852.jpg,Cocktail glass,Cognac,2 oz ,Cointreau,1/2 oz ,Lemon juice,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Pour all ingredients into cocktail shaker filled with ice. Shake well and strain into cocktail glass.
Sidecar Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ewjxui1504820428.jpg,Cocktail glass,Brandy,1 oz ,Triple sec,1/2 oz ,Lemon,Juice of 1/4 ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve."
Singapore Sling,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tvtrrt1439906288.jpg,Hurricane glass,Cherry brandy,1/2 oz ,Grenadine,1/2 oz ,Gin,1 oz ,Sweet and sour,2 oz ,Carbonated water,,Cherry,,,,,,,,,,,,,,,,,,,,Pour all ingredients into cocktail shaker filled with ice cubes. Shake well. Strain into highball glass. Garnish with pineapple and cocktail cherry.
Sloe Gin Cocktail,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/d7mo481504889531.jpg,Cocktail glass,Sloe gin,2 oz ,Dry Vermouth,1/4 tsp ,Orange bitters,1 dash ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Stir all ingredients with ice, strain into a cocktail glass, and serve."
Smut,Alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/rx8k8e1504365812.jpg,Beer mug,Red wine,1/3 part ,Peach schnapps,1 shot ,Pepsi Cola,1/3 part ,Orange juice,1/3 part ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Throw it all together and serve real cold.
Snake Bite (UK),Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/xuwpyu1441248734.jpg,Pint glass,Lager,1/2 pint ,Cider,1/2 pint sweet or dry ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,Pour ingredients into a pint glass. Drink. Fall over.
Snakebite and Black,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/rssvwv1441248863.jpg,Pint glass,Lager,1/2 pint ,Cider,1/2 pint ,Blackcurrant squash,A little bit of ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,Put blackcurrant squash in first up to about 1cm in glass. Then add the larger and cider one after another.
Snowball,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/7ibfs61504735416.jpg,Highball glass,Advocaat,1 1/2 oz ,Lemonade,8-10 oz cold ,Lemon,1 slice ,Ice," cubes
",,"
",,"
",,"
",,"
",,"
",,,,,,,,,,,,,Place one ice cube in the glass and add 1 1/2 oz of Advocaat. Fill up the glass with lemonade and decorate with a slice of lemon. Serve at once.
Sol Y Sombra,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/3gz2vw1503425983.jpg,Brandy snifter,Brandy,1 1/2 oz ,Anisette,1 1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Shake ingredients with ice, strain into a brandy snifter, and serve. (The English translation of the name of this drink is ""Sun and Shade"", and after sampling this drink, you'll understand why. Thanks, Kirby.)"
Space Odyssey,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vxtjbx1504817842.jpg,Highball glass,151 proof rum,1 shot Bacardi ,Malibu rum,1 shot ,Pineapple juice,1 shot ,Orange juice,"
",Grenadine,"
",Cherries, ,, ,, ,, ,, ,,,,,,,,,,,Fill glass with ice and add shots of Bacardi and Malibu. Add splash of pineapple juice and top with orange juice. Add grenadine for color and garnish with cherries.
Spanish chocolate,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/pra8vt1487603054.jpg,Coffee mug,Milk,2 cups ,Chocolate,2 oz sweet ,Cinnamon,1/2 tsp ,Egg yolk,2 beaten ,, ,, ,, ,, ,, ,,,,,,,,,,,,,"Stir the milk with the chocolate and the cinnamon over low heat until the chocolate dissolves. Add the eggs and beat the mixture until it becomes thick, taking care not to boil. Serve in coffee mug."
Spiced Peach Punch,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/qxvypq1468924331.jpg,Collins Glass,Peach nectar,46 oz ,Orange juice,20 oz ,Brown sugar,1/2 cup ,Cinnamon,3 3-inch ,Cloves,1/2 tsp ,Lime juice,2 tblsp ,, ,, ,, ,, ,, ,,,,,,,,,"Combine peach nectar, orange juice and brown sugar in a large saucepan. Tie cinnamon and cloves in a small cheesecloth bag. Drop into saucepan. Heat slowly, stirring constantly, until sugar dissolves. Simmer 10 minutes. Stir in lime juice. Serve in hot mugs."
Spiking coffee,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/isql6y1487602375.jpg,Coffee mug,Coffee,"
",Cinnamon, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,,"Incidentally, a pinch of cinnamon is indeed a nice addition to coffee but true heaven is a cardamom seed. Of course, you serve it in a coffee mug."
Spritz,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/j9evx11504373665.jpg,Old-Fashioned glass,Prosecco,6 cl,Campari,4 cl,Soda Water,splash,,,,,, ,, ,,,,,,,,,,,,,,,,,"Build into glass over ice, garnish and serve."
Stinger,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/2ahv791504352433.jpg,Cocktail glass,Brandy,1 1/2 oz ,White Creme de Menthe,1/2 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,"Pour in a mixing glass with ice, stir and strain into a cocktail glass. May also be served on rocks in a rocks glass."
Stone Sour,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vruvtp1472719895.jpg,Whiskey sour glass,Apricot brandy,1 oz ,Orange juice,1 oz ,Sweet and sour,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,"Shake all ingredients with ice, strain into a chilled whiskey sour glass, and serve."
Strawberry Daiquiri,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/deu59m1504736135.jpg,Cocktail glass,Strawberry schnapps,1/2 oz ,Light rum,1 oz ,Lime juice,1 oz ,Powdered sugar,1 tsp ,Strawberries,1 oz ,, ,, ,, ,, ,, ,,,,,,,,,,,Pour all ingredients into shaker with ice cubes. Shake well. Strain in chilled cocktail glass.
Strawberry Lemonade,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/spvvxp1468924425.jpg,Collins Glass,Lemon,Juice of 1 ,Sugar,1 tblsp ,Strawberries,8-10 ripe ,Water,1 cup ,, ,, ,, ,, ,, ,,,,,,,,,,,,,Throw everything into a blender and mix until fairly smooth. Serve over ice.
